Name,Price,Link
HP EliteBook Laptop Light Gaming PC Core i5 16GB RAM 512GB SSD Windows 11 Pro,291.28,https://www.ebay.com/itm/264714553889?_skw=laptop&hash=item3da2378a21:g:zZQAAOSwX41n7zAA&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fa6JnZl0PJbbL%2BlOGwiNDJVMo5yZo7c2ghiXaNSM2xKCCbS9XaRSHhJt7Lc1J90SPLtpHgmvAipPYo5Vyq6TGe2RLVbOwNbsylfs70R0NhG2SuQpG5qw1itQXdgP%2FJyqwp%2Fy2n%2F7S0GwWKoC7z6IAxnd80ch9daO2k%2FDulTnqFPeQCjij7R20e9eMVn9OKydiZvJbb0K1eACBix9debjaxC%2Fz7Jd7EYDEzvi%2FQOaOpgA%3D%3D%7Ctkp%3ABlBMUKSN0YrBZQ
"HP Stream 11 Pro G5 Laptop PC Computer 11.6"" Celeron Windows 10 4GB RAM 64GB SSD",89.99,https://www.ebay.com/itm/264714576220?_skw=laptop&hash=item3da237e15c:g:xqYAAOSwG-tn5JpC&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1exWP2hCrplmyZnGXl3jiDxNUcTMp99u0RLw3g5gXh7ncGaRxMsE7G8pzOUZ0E6zr2kc3X43gz0ydJ%2Bj%2BTraLlMqZQF2WlL8nXBl2i0myBWfJKXZ2EVQUba6BT6HPSUDoCRcRCELzAuNiHmlT1XHgtJHJry1gliXRjd75eVIqLkbiVCbnShsWdvv2rwJwAtUbqeVQG4ATTPJRQ1bltSefO81LZHhzti4qOK%2Bx9c5jnV2w%3D%3D%7Ctkp%3ABlBMUKSN0YrBZQ
"Dell Laptop PC Computer 13.3"" Intel Celeron Windows 10 4GB RAM 128GB SSD WiFi",87.63,https://www.ebay.com/itm/263591761893?_skw=laptop&hash=item3d5f4b17e5:g:1agAAOSwuWln8Ioj&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1e8mLXZTaHCda3GF16NuH2yWMzpf%2BHxRFQ7JQlC9uTZk8WxKCBm1vVjibhpGR7db0pRTs9EwVxP3SVeddnBIEP2u%2F6HReOr03EATZU1emXCQy4XnFZ%2Fl3932MJV79xjrXjvUVtm9liMFYhbELhL8hOBVoUBVtCb9G8UdNZaMndZ8lWAp8udKXmantmntI8%2FY1l0HjTBLB4ssO86NkOOUCe--ekgantrO9Hn19okTs7Crw%3D%3D%7Ctkp%3ABlBMUKSN0YrBZQ
"Dell Latitude 7320 13.3"" (2 TB SSD, Intel Core i7 11th Gen., 3 GHz 16GB) Laptop",232.50,https://www.ebay.com/itm/226675049811?_skw=laptop&hash=item34c6e2c553:g:x4MAAeSw9Ihn4BPY
Lenovo ThinkPad X1 Carbon Intel core i7-8665U @1.90GHz 16GB Laptop Compute No hd,159.50,https://www.ebay.com/itm/396395285578?_skw=laptop&hash=item5c4b000c4a:g:W0gAAOSw1u9n4ayP
"Dell Latitude 5550 Laptop Ultra 7 165U 32GB RAM 256GB NVMe 15.6"" 2024",310.00,https://www.ebay.com/itm/226683734522?_skw=laptop&hash=item34c76749fa:g:qJsAAeSw5Fxn3Kzi
HP ELITEBOOK 840 G8 i5-1145G7  2.60 GHZ 16GB  256 GB / HP adapter,95.00,https://www.ebay.com/itm/277006376689?_skw=laptop&hash=item407edddef1:g:ZNQAAOSwWS9n8B~8
Dell Precision 5540 Intel core i7-9850H @2.60GHz 16GB Laptop  No hdd TouchScreen,199.50,https://www.ebay.com/itm/236034932653?_skw=laptop&hash=item36f4c73fad:g:Uq4AAOSwhWln4v3g
"LENOVO IDEAPAD 5 15ITL05 CORE I7-1165G7 2.80GHZ  8GB RAM NO SSD, OS, WI-FI AS IS",2.25,https://www.ebay.com/itm/176965392828?_skw=laptop&hash=item2933f599bc:g:Dc4AAeSw~PRn2LjL
"15.6"" FHD DELL Gaming Laptop PC: Intel i7 Quad Core! 32GB RAM ~ 1TB NVME SSD!",389.95,https://www.ebay.com/itm/116528001029?_skw=laptop&hash=item1b219c3005:g:K78AAOSwziRn3DeY&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1e6kQTH0bptauya%2BMCNrisJJ77zqb9Eyixp4mKo7RKbzui1%2Fdvbx34QRyN%2BiudNpckPwPFK73aL%2FCIOjYqV3cqLYk0p7lcOgYikd4LWKpSpn4ASpk2tmrZq60ocg63o3dhf9lLIfpMx4fS%2BSK2tk6c0EJS%2FvdZQ1w2E4uDmfh8tzQrVWHmgRUWPYN1debeI4t%2BZQdbDOVLdNbSBV8I1tVg8SO%2FrORuAlwuS1m04GJBesSTXqVokHK8MHGOMhXeE8bfQoT8rZNRJo0XIpjnVBVbY%7Ctkp%3ABk9SR6aN0YrBZQ
